airbnb_listing_id,n_dates,coverage
1057964852411462810,77,0.7333333333333333
1058193595817353204,33,0.3142857142857143
1058777213156843238,26,0.24761904761904763
1060712994513047104,78,0.7428571428571429
1062221285605590578,82,0.780952380952381
1062615116593634676,66,0.6285714285714286
1063807278503566143,67,0.638095238095238
1066545050089987954,81,0.7714285714285715
1067320906990424780,61,0.580952380952381
1070343877574441166,22,0.20952380952380953
1074031328011239995,102,0.9714285714285714
1074829679064875721,6,0.05714285714285714
1075444278753674442,45,0.42857142857142855
1075503699104403085,69,0.6571428571428571
1077396104359577731,20,0.19047619047619047
1081972140987250431,63,0.6
1082133757143221839,17,0.1619047619047619
1082746592587689161,44,0.41904761904761906
1083196219974177016,57,0.5428571428571428
1083301106167776779,30,0.2857142857142857
1083424325445690046,54,0.5142857142857142
1083633025910461931,46,0.4380952380952381
1084601543056055517,63,0.6
1085437829031467755,45,0.42857142857142855
1086855144095843601,68,0.6476190476190476
1088251024341369589,14,0.13333333333333333
1091408953130822622,48,0.45714285714285713
1100720037663116812,66,0.6285714285714286
1100991386372756521,95,0.9047619047619048
1111626053814730010,70,0.6666666666666666
1124052077567202180,20,0.19047619047619047
1125970477826966385,68,0.6476190476190476
